movie_id,title,production_year,votes,vote_mean,vote_sd,theat_gross_dollars,theat_last_date,role,count,count_male,mean_age,wmean_age,count_female,status,bechdel_test
886044,Wetherby,1985,1076,6.65,2.515,1299985,2016-08-02,actsin,19,11,37.3684210526316,45.2357031242889,8,mixed,3
886044,Wetherby,1985,1076,6.65,2.515,1299985,2016-08-02,director,1,1,38,38,0,all male,3
886044,Wetherby,1985,1076,6.65,2.515,1299985,2016-08-02,writer,1,1,38,38,0,all male,3
886127,Whale Rider,2002,33936,6.95,2.598,20779666,2016-08-02,actsin,5,4,27.6,20.0955684153653,1,mixed,3
886127,Whale Rider,2002,33936,6.95,2.598,20779666,2016-08-02,director,1,0,35,35,1,all female,3
886127,Whale Rider,2002,33936,6.95,2.598,20779666,2016-08-02,writer,2,1,46.5,45.1773466825622,1,mixed,3
886276,What About Bob?,1991,49393,6.41,2.167,63710000,2016-08-02,actsin,18,8,43.8888888888889,40.7770318033022,10,mixed,2
886276,What About Bob?,1991,49393,6.41,2.167,63710000,2016-08-02,director,1,1,47,47,0,all male,2
886276,What About Bob?,1991,49393,6.41,2.167,63710000,2016-08-02,writer,3,2,48.6666666666667,53.8226533174378,1,mixed,2
886729,What Happens in Vegas,2008,138716,6.05,2.121,80277646,2016-08-02,actsin,36,25,39.1666666666667,36.4494824782088,11,mixed,3
886729,What Happens in Vegas,2008,138716,6.05,2.121,80277646,2016-08-02,director,1,1,39,39,0,all male,3
887055,What Lies Beneath,2000,97371,6.13,2.048,155464351,2013-09-13,actsin,21,10,40.1904761904762,37.4179317450538,11,mixed,3
887055,What Lies Beneath,2000,97371,6.13,2.048,155464351,2013-09-13,director,1,1,48,48,0,all male,3
887055,What Lies Beneath,2000,97371,6.13,2.048,155464351,2013-09-13,writer,3,2,43,44.6374000100953,1,mixed,3
887091,What Maisie Knew,2012,20973,6.77,2.315,1065000,2013-07-28,actsin,12,7,45.1666666666667,44.8598762359447,5,mixed,3
887412,What to Expect When You're Expecting,2012,56375,5.72,2.206,41152203,2016-08-02,actsin,40,23,37.75,37.2193515791372,17,mixed,3
887412,What to Expect When You're Expecting,2012,56375,5.72,2.206,41152203,2016-08-02,director,1,1,48,48,0,all male,3
887452,What We Do in the Shadows,2014,62677,7.04,2.389,3333000,2015-05-10,actsin,5,4,50.6,39.4989963764378,1,mixed,1
887452,What We Do in the Shadows,2014,62677,7.04,2.389,3333000,2015-05-10,director,2,2,39.5,39.5,0,all male,1
887452,What We Do in the Shadows,2014,62677,7.04,2.389,3333000,2015-05-10,writer,2,2,39.5,39.5,0,all male,1
887506,What Women Want,2000,156697,6.05,2.121,182811707,2016-08-02,actsin,54,12,33.2592592592593,39.2507824262813,42,mixed,1
887506,What Women Want,2000,156697,6.05,2.121,182811707,2016-08-02,director,1,0,51,51,1,all female,1
887506,What Women Want,2000,156697,6.05,2.121,182811707,2016-08-02,writer,4,2,29.5,30,2,mixed,1
887641,What's Cooking?,2000,2259,6.88,2.386,1039374,2000-12-25,actsin,26,16,44.5384615384615,39.7485917302505,10,mixed,3
887641,What's Cooking?,2000,2259,6.88,2.386,1039374,2000-12-25,director,1,0,40,40,1,all female,3
887641,What's Cooking?,2000,2259,6.88,2.386,1039374,2000-12-25,writer,2,1,36,40,1,mixed,3
887646,What's Eating Gilbert Grape,1993,168790,7.04,2.389,9170214,2016-08-02,actsin,21,15,30.9047619047619,29.6422843435998,6,mixed,3
887646,What's Eating Gilbert Grape,1993,168790,7.04,2.389,9170214,2016-08-02,director,1,1,47,47,0,all male,3
887646,What's Eating Gilbert Grape,1993,168790,7.04,2.389,9170214,2016-08-02,writer,2,2,31,31,0,all male,3
887853,"What's Up, Doc?",1972,14023,7.23,2.627,6.6e+07,1972-12-31,actsin,46,39,47.4782608695652,35.244976636229,7,mixed,2
887853,"What's Up, Doc?",1972,14023,7.23,2.627,6.6e+07,1972-12-31,director,1,1,33,33,0,all male,2
887853,"What's Up, Doc?",1972,14023,7.23,2.627,6.6e+07,1972-12-31,writer,4,4,37.5,38.0175599936246,0,all male,2
887899,What's Your Number?,2011,57670,6.05,2.121,14008193,2011-11-20,actsin,43,27,33.4651162790698,38.1543582577933,16,mixed,3
887899,What's Your Number?,2011,57670,6.05,2.121,14008193,2011-11-20,writer,2,0,40.5,39,2,all female,3
888004,Whatever Works,2009,58064,6.59,2.289,5305622,2009-10-25,actsin,25,17,42.16,49.2332929581024,8,mixed,3
888004,Whatever Works,2009,58064,6.59,2.289,5305622,2009-10-25,director,1,1,74,74,0,all male,3
888004,Whatever Works,2009,58064,6.59,2.289,5305622,2009-10-25,writer,1,1,74,74,0,all male,3
888186,When a Stranger Calls,2006,34235,5.5,2.267,47860214,2006-03-19,actsin,19,12,32.5263157894737,29.9527675101635,7,mixed,3
888186,When a Stranger Calls,2006,34235,5.5,2.267,47860214,2006-03-19,director,1,1,45,45,0,all male,3
888486,When Harry Met Sally...,1989,146379,6.95,2.477,92823546,1990-12-31,actsin,32,17,49.65625,34.6892673133182,15,mixed,3
888486,When Harry Met Sally...,1989,146379,6.95,2.477,92823546,1990-12-31,director,1,1,42,42,0,all male,3
888486,When Harry Met Sally...,1989,146379,6.95,2.477,92823546,1990-12-31,writer,1,0,48,48,1,all female,3
888648,When in Rome,2010,50158,5.55,2.156,32669555,2010-04-11,actsin,36,22,38.5,41.6739642779635,14,mixed,3
888648,When in Rome,2010,50158,5.55,2.156,32669555,2010-04-11,director,1,1,46,46,0,all male,3
888885,When Night Is Falling,1995,5257,6.75,2.586,1194152,2016-08-02,actsin,10,4,30.6,32.7320821531164,6,mixed,3
888885,When Night Is Falling,1995,5257,6.75,2.586,1194152,2016-08-02,director,1,0,37,37,1,all female,3
888885,When Night Is Falling,1995,5257,6.75,2.586,1194152,2016-08-02,writer,1,0,37,37,1,all female,3
889170,When the Game Stands Tall,2014,12211,6.55,2.479,29224234,2014-09-28,actsin,32,25,39.625,42.0999720569898,7,mixed,1
889170,When the Game Stands Tall,2014,12211,6.55,2.479,29224234,2014-09-28,director,1,1,61,61,0,all male,1
889397,When the Wind Blows,1986,6983,7.04,2.389,5274,2016-08-02,actsin,7,6,79.4285714285714,77.2546420166377,1,mixed,0
889397,When the Wind Blows,1986,6983,7.04,2.389,5274,2016-08-02,director,1,1,53,53,0,all male,0
889397,When the Wind Blows,1986,6983,7.04,2.389,5274,2016-08-02,writer,2,2,52,52,0,all male,0
889811,Where Eagles Dare,1968,39725,7.04,2.389,2.1e+07,1968-12-31,actsin,32,29,43.15625,43.2142393847444,3,mixed,3
889811,Where Eagles Dare,1968,39725,7.04,2.389,2.1e+07,1968-12-31,director,1,1,33,33,0,all male,3
890112,Where the Heart Is,1990,1254,6.32,2.4,1106475,2016-08-02,actsin,20,14,36.95,39.0955438585539,6,mixed,3
